,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
12,Color,Baltasar Kormákur,265.0,109.0,175.0,459.0,Patrick Fischler,18000.0,75573300.0,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,2 Guns ,156898,20148,Fred Ward,1.0,close up of breasts|female nudity|fugitive|money|undercover,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172.0,English,USA,R,61000000.0,2013.0,497.0,6.7,2.35,22000
13,Color,Morgan Neville,149.0,91.0,9.0,13.0,Lou Adler,130.0,4946250.0,Documentary|Music,Sheryl Crow,20 Feet from Stardom ,9540,198,Merry Clayton,0.0,backup singer|band|bechdel test passed|concert footage|singer,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,80.0,English,USA,PG-13,1000000.0,2013.0,19.0,7.4,1.78,14000
14,Color,Dinesh D'Souza,30.0,87.0,67.0,67.0,Zackary Steven Graham,871.0,33349949.0,Documentary,Barack Obama,2016: Obama's America ,9010,1111,Dinesh D'Souza,0.0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,199.0,English,USA,PG,2500000.0,2012.0,118.0,5.1,1.85,0
15,Color,Jon Lucas,168.0,93.0,24.0,499.0,Josie Loren,552.0,25675765.0,Comedy,Justin Chon,21 & Over ,60407,2730,Sarah Wright,0.0,21st birthday|college student|drunken man|pubic hair|standing up to father,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,84.0,English,USA,R,13000000.0,2013.0,528.0,5.9,2.35,11000
16,Color,Phil Lord,375.0,109.0,97.0,839.0,Dax Flame,17000.0,138447667.0,Action|Comedy|Crime,Channing Tatum,21 Jump Street ,408302,19968,Rob Riggle,2.0,narcotics|parody|police|remake|undercover cop,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345.0,English,USA,R,42000000.0,2012.0,971.0,7.2,2.35,39000
17,Color,Phil Lord,330.0,112.0,97.0,584.0,Craig Roberts,17000.0,191616238.0,Action|Comedy|Crime,Channing Tatum,22 Jump Street ,258186,19428,Amber Stevens West,2.0,college|drugs|hidden camera|tattoo|undercover,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,322.0,English,USA,R,50000000.0,2014.0,920.0,7.1,2.35,24000
18,Color,Eric Mendelsohn,20.0,88.0,5.0,301.0,Edie Falco,795.0,,Drama,Embeth Davidtz,3 Backyards ,554,1884,Kathryn Erbe,0.0,number in title,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,23.0,English,USA,R,300000.0,2010.0,659.0,5.2,,92
19,Color,McG,211.0,123.0,368.0,114.0,Richard Sammel,933.0,30688364.0,Action|Drama|Thriller,Connie Nielsen,3 Days to Kill ,69355,1286,Tómas Lemarquis,0.0,cancer|estranged wife|leather dress|spy|terrorist,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,211.0,English,USA,PG-13,28000000.0,2014.0,194.0,6.2,2.35,10000
20,Color,Ruben Fleischer,220.0,83.0,181.0,459.0,Dilshad Vadsaria,731.0,37053924.0,Action|Comedy|Crime,Bianca Kajlich,30 Minutes or Less ,77935,1987,Fred Ward,3.0,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,122.0,English,Germany,R,28000000.0,2011.0,579.0,6.1,2.35,0
21,Color,Craig Moss,29.0,80.0,19.0,73.0,Ashley Martin,319.0,,Comedy,French Stewart,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,2978,845,Olivia Alexander,0.0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,13.0,English,USA,R,3000000.0,2013.0,302.0,2.6,1.85,2000
22,Color,Noam Murro,366.0,102.0,263.0,1000.0,Sullivan Stapleton,6000.0,106369117.0,Action|Drama|Fantasy|War,Eva Green,300: Rise of an Empire ,225273,10583,Peter Mensah,0.0,army|commander|female rear nudity|greek|navy,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,523.0,English,USA,R,110000000.0,2014.0,1000.0,6.2,2.35,71000
24,Color,Carl Rinsch,218.0,128.0,47.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2.0,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,USA,PG-13,175000000.0,2013.0,1000.0,6.3,2.35,35000
25,Color,Renny Harlin,74.0,113.0,212.0,18.0,Kenneth Cranham,567.0,17149.0,Action|Drama|War,Richard Coyle,5 Days of War ,12128,708,Ana Imnadze,9.0,cameraman|epic battle|journalist|south ossetia|street shootout,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,61.0,English,Georgia,R,20000000.0,2011.0,111.0,5.6,2.35,0
26,Color,Jonathan Levine,327.0,100.0,129.0,3000.0,Anna Kendrick,23000.0,34963967.0,Comedy|Drama|Romance,Joseph Gordon-Levitt,50/50 ,270441,39807,Bryce Dallas Howard,2.0,best friend|cancer|survival rate|therapist|vomiting,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,378.0,English,USA,R,8000000.0,2011.0,10000.0,7.7,1.85,40000
27,Color,Jaco Booyens,,90.0,37.0,0.0,Sebastian Aguilar,210.0,,Drama|Thriller,Nicole Smolen,8 Days ,44,210,Ivette Alvarez,1.0,,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,3.0,English,USA,PG-13,2500000.0,2014.0,0.0,6.9,,224
28,Color,Reed Cowan,28.0,80.0,0.0,5.0,Emily Pearson,191.0,99851.0,Documentary,Dustin Lance Black,8: The Mormon Proposition ,1138,210,Gavin Newsom,0.0,church|marriage|mormon|mormon church|proposition,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,30.0,English,USA,R,2500000.0,2010.0,12.0,7.1,1.78,0
29,Color,Michael Polish,12.0,121.0,35.0,473.0,Bobby Batson,4000.0,4700361.0,Drama,Hayden Christensen,90 Minutes in Heaven ,2047,6617,Cynthia Barrett,0.0,heaven|hospital|praying|pronounced dead|recovery,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29.0,English,USA,PG-13,5000000.0,2015.0,849.0,4.6,2.35,0
30,Color,Mitchell Altieri,,87.0,9.0,165.0,Luke Edwards,467.0,,Comedy|Horror|Thriller,Kimberley Crossman,A Beginner's Guide to Snuff ,13,1270,Bree Williamson,0.0,,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,English,USA,,,2016.0,258.0,8.7,,8
31,Color,Chris Weitz,94.0,98.0,129.0,221.0,Eddie 'Piolin' Sotelo,749.0,1754319.0,Drama|Romance,Demián Bichir,A Better Life ,13174,2214,Robert Peters,0.0,gang|gardener|money|police|truck,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,81.0,English,USA,PG-13,10000000.0,2011.0,252.0,7.2,1.85,0
32,Color,David Cronenberg,345.0,99.0,0.0,691.0,Viggo Mortensen,13000.0,5702083.0,Biography|Drama|Thriller,Michael Fassbender,A Dangerous Method ,80617,23755,Sarah Gadon,3.0,carl jung|patient|psychoanalysis|russian|sigmund freud,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,190.0,English,UK,R,15000000.0,2011.0,10000.0,6.5,1.85,36000
33,,Jonathan Meyers,1.0,111.0,0.0,426.0,Luke Perry,657.0,,Drama,Justin Baldoni,A Fine Step ,207,2677,Leonor Varela,0.0,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1.0,,USA,PG,1000000.0,2014.0,608.0,5.3,,212
34,Color,John Moore,412.0,101.0,212.0,476.0,Cole Hauser,13000.0,67344392.0,Action|Thriller,Bruce Willis,A Good Day to Die Hard ,165618,15481,Megalyn Echikunwoke,2.0,bomb|cia|courthouse|escape|russian,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,503.0,English,USA,R,92000000.0,2013.0,787.0,5.3,1.85,66000
35,Color,Michael Tiddes,69.0,86.0,89.0,511.0,Essence Atkins,986.0,17314483.0,Comedy|Fantasy,Ashley Rickards,A Haunted House 2 ,14621,4073,Gabriel Iglesias,2.0,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,48.0,English,USA,R,4000000.0,2014.0,713.0,4.7,1.85,0
36,Color,Michael Tiddes,129.0,86.0,89.0,555.0,Alanna Ubach,713.0,40041683.0,Comedy|Fantasy,Essence Atkins,A Haunted House ,34620,3421,J.B. Smoove,6.0,hamburger|parody|priest|psychic|woman in a bikini,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,107.0,English,USA,R,2500000.0,2013.0,584.0,5.1,1.85,0
37,Color,Kief Davidson,43.0,93.0,0.0,0.0,Brian Whitaker,20.0,100240.0,Documentary,G.W. Krauss,A Lego Brickumentary ,1220,28,Jason Bateman,0.0,artist|denmark|lego|toy|toy company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11.0,English,Denmark,G,1000000.0,2014.0,8.0,6.8,,0
38,Color,Julian Gilbey,135.0,99.0,7.0,641.0,Eamonn Walker,762.0,,Action|Adventure|Crime|Thriller,Ed Speleers,A Lonely Place to Die ,22220,2631,Sean Harris,1.0,kidnapper|mountaineering|scotland|scottish highlands|sniper,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,97.0,English,UK,R,4000000.0,2011.0,706.0,6.3,2.35,0
39,Color,Tyler Perry,24.0,100.0,0.0,400.0,Tika Sumpter,975.0,52528330.0,Comedy|Drama,Alicia Witt,A Madea Christmas ,4265,3202,Larry the Cable Guy,0.0,christmas|holiday|madea series|rural setting|stubbornness,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,27.0,English,USA,PG-13,25000000.0,2013.0,521.0,4.7,1.85,0
40,Color,Seth MacFarlane,303.0,136.0,3000.0,3000.0,Charlize Theron,14000.0,42615685.0,Comedy|Western,Liam Neeson,A Million Ways to Die in the West ,136093,28927,Seth MacFarlane,3.0,dancing sheep|fetish|musical scene|racial humor|snake poison,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,416.0,English,USA,R,40000000.0,2014.0,9000.0,6.1,2.35,24000
41,Color,Bibo Bergeron,63.0,90.0,10.0,541.0,Bob Balaban,1000.0,,Adventure|Animation|Comedy|Fantasy|Music|Romance,Adam Goldberg,A Monster in Paris ,15790,3243,François Cluzet,0.0,belle epoque|city name in title|monster|paris france,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,40.0,French,France,PG,25000000.0,2011.0,559.0,6.8,1.85,0
42,Color,J.C. Chandor,350.0,125.0,78.0,745.0,Ashley Williams,1000.0,5749134.0,Action|Crime|Drama|Thriller,David Oyelowo,A Most Violent Year ,45799,3979,Albert Brooks,0.0,american dream|immigrant|new york city|oil|violence,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,180.0,English,USA,R,20000000.0,2014.0,969.0,7.0,2.35,0
43,Color,Anton Corbijn,291.0,122.0,210.0,123.0,Nina Hoss,22000.0,17237244.0,Crime|Drama|Thriller,Philip Seymour Hoffman,A Most Wanted Man ,57210,22574,Homayoun Ershadi,3.0,intelligence|intelligence agency|secret service|surveillance camera|war on terror,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,158.0,English,UK,R,15000000.0,2014.0,164.0,6.8,2.35,13000
44,Color,Pascal Chaumeil,58.0,104.0,8.0,8.0,Malonn Lévana,172.0,,Comedy|Romance,Dany Boon,A Perfect Plan ,5525,210,Alice Pol,2.0,curse|divorce|marriage|tourism|travel,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,11.0,French,France,,17000000.0,2012.0,20.0,6.3,2.35,853
45,Color,Benjamin Roberds,13.0,76.0,0.0,0.0,Maxwell Moody,0.0,,Drama|Horror|Thriller,Eva Boehnke,A Plague So Pleasant ,38,0,David Chandler,0.0,,http://www.imdb.com/title/tt2107644/?ref_=fn_tt_tt_1,3.0,English,USA,,1400.0,2013.0,0.0,6.3,,16
46,Color,Asghar Farhadi,354.0,123.0,0.0,620.0,Leila Hatami,786.0,7098492.0,Drama|Mystery,Shahab Hosseini,A Separation ,151812,2501,Peyman Moaadi,2.0,alzheimer's disease|caregiver|divorce|iran|iranian,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,264.0,Persian,Iran,PG-13,500000.0,2011.0,712.0,8.4,1.85,48000
47,Color,Mabel Cheung,6.0,130.0,3.0,2.0,Ching Wan Lau,215.0,,Drama,Wei Tang,A Tale of Three Cities ,117,244,Hailu Qin,1.0,,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,6.0,Chinese,China,,12000000.0,2015.0,27.0,6.2,2.35,4
48,Color,Brian Robbins,70.0,91.0,48.0,39.0,Lou Saliba,61.0,18438149.0,Comedy|Drama,John Gatins,A Thousand Words ,30842,222,Greg Collins,8.0,box office flop|buddhist|liar|literary agent|magical tree,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,93.0,English,USA,PG-13,40000000.0,2012.0,46.0,5.9,2.35,0
50,Color,Malcolm Goodwin,,96.0,117.0,281.0,Jon Gries,948.0,,Comedy,Katrina Bowden,A True Story ,181,2058,Kelen Coleman,5.0,ellipsis in title|long title|period in title|punctuation in title|title ends with period,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,4.0,English,USA,,45000.0,2013.0,482.0,5.5,2.35,72
51,Color,Ben Stassen,56.0,88.0,4.0,602.0,Jenny McCarthy,783.0,,Adventure|Animation|Family,Ed Begley Jr.,A Turtle's Tale: Sammy's Adventures ,5385,3874,Stacy Keach,2.0,apostrophe in title|character name in title|punctuation in title|sea turtle,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,22.0,English,France,PG,,2010.0,749.0,6.1,2.35,0
52,Color,Todd Strauss-Schulson,161.0,90.0,12.0,587.0,Thomas Lennon,786.0,35033759.0,Adventure|Comedy,Patton Oswalt,A Very Harold & Kumar 3D Christmas ,55008,2462,Paula Garcés,4.0,christmas|christmas tree|fire|new york city|stoner,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93.0,English,USA,R,19000000.0,2011.0,651.0,6.3,2.35,21000
53,Color,Scott Frank,253.0,114.0,71.0,313.0,Boyd Holbrook,14000.0,25977365.0,Crime|Drama|Mystery|Thriller,Liam Neeson,A Walk Among the Tombstones ,87950,15428,David Harbour,0.0,drug dealer|ex cop|murder of wife|revenge|violence,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,207.0,English,USA,R,28000000.0,2014.0,439.0,6.5,2.35,15000
54,Color,Maksim Fadeev,5.0,85.0,0.0,21.0,Fedor Bondarchuk,114.0,,Adventure|Animation|Fantasy,Konstantin Khabenskiy,A Warrior's Tail ,393,229,Sergey Garmash,1.0,battle|creature|hyena|monkey|village,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,7.0,Russian,Russia,,30000000.0,2015.0,35.0,4.1,,161
55,Color,John Laing,,86.0,0.0,3.0,Peter Feeney,42.0,,Drama,Siobhan Marshall,Abandoned ,333,90,Rachel Nash,5.0,boat|one word title|sea|storm|survivor,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,6.0,English,New Zealand,,,2015.0,40.0,6.3,,213
56,Color,Remo,15.0,160.0,168.0,71.0,Remo,733.0,95236.0,Drama|Musical,Lauren Gottlieb,ABCD (Any Body Can Dance) ,5018,1182,Prabhudheva,3.0,,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38.0,Hindi,India,Not Rated,,2013.0,168.0,6.4,,1000
57,Color,John Singleton,180.0,106.0,309.0,63.0,Benjamin J. Cain Jr.,327.0,28064226.0,Action|Mystery|Thriller,Ken Arnold,Abduction ,65044,561,Richard Cetrone,1.0,assassin|high school|on the run|teenager|website,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,173.0,English,USA,PG-13,35000000.0,2011.0,73.0,5.0,2.35,13000
58,Color,Steve Pink,90.0,100.0,38.0,460.0,Regina Hall,833.0,48637684.0,Comedy|Romance,Joe Lo Truglio,About Last Night ,16979,2800,Bryan Callen,4.0,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,42.0,English,USA,R,12500000.0,2014.0,807.0,6.1,2.35,0
59,Color,Richard Curtis,274.0,123.0,628.0,171.0,Tom Hollander,565.0,15294553.0,Drama|Fantasy|Romance,Tom Hughes,About Time ,202341,1595,Lindsay Duncan,1.0,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,391.0,English,UK,R,12000000.0,2013.0,555.0,7.8,2.35,105000
60,Color,Timur Bekmambetov,393.0,105.0,335.0,911.0,Dominic Cooper,3000.0,37516013.0,Action|Fantasy|Horror,Rufus Sewell,Abraham Lincoln: Vampire Hunter ,128629,8281,Benjamin Walker,0.0,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,348.0,English,USA,R,69000000.0,2012.0,3000.0,5.9,2.35,98000
61,Color,Mike Flanagan,125.0,87.0,59.0,9.0,Courtney Bell,35.0,,Drama|Horror|Mystery,Justin Gordon,Absentia ,13065,97,Erin Cipolletti,0.0,anticipate|dead in absentia|foetus|tunnel|unreliable narration,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,136.0,English,USA,R,70000.0,2011.0,28.0,5.8,1.78,3000
62,Color,David O. Russell,56.0,100.0,737.0,816.0,Kirstie Alley,15000.0,,Comedy|Romance,Jake Gyllenhaal,Accidental Love ,5006,19068,Beverly D'Angelo,5.0,health insurance|long delayed release|nail in the head|waitress|washington d.c.,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,28.0,English,USA,PG-13,26000000.0,2015.0,980.0,4.0,1.85,0
63,Color,Mike McCoy,216.0,110.0,16.0,11.0,Jason Cottle,93.0,70011073.0,Action|Adventure|Drama|Thriller|War,Alex Veadov,Act of Valor ,57996,146,Rorke Denver,0.0,mission|navy seal|terrorist|torture|valor,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,349.0,English,USA,R,12000000.0,2012.0,17.0,6.5,2.35,15000
64,Color,Bille Woodruff,9.0,106.0,23.0,467.0,Cameron Mills,1000.0,17382982.0,Drama|Thriller,Boris Kodjoe,Addicted ,5975,2840,Sharon Leal,0.0,adultery|attraction|lust|obsession|temptation,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33.0,Spanish,USA,R,5000000.0,2014.0,694.0,5.2,1.85,0
65,Color,Paul Weitz,150.0,107.0,80.0,252.0,Sarita Choudhury,2000.0,18004225.0,Comedy|Drama|Romance,Tina Fey,Admission ,28573,3004,Christopher Evan Welch,2.0,adoption|female protagonist|princeton university|wedding|working women,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,87.0,English,USA,PG-13,13000000.0,2013.0,257.0,5.7,2.35,5000
66,Color,Anne Fontaine,141.0,112.0,105.0,748.0,Naomi Watts,18000.0,317125.0,Drama|Romance,Robin Wright,Adore ,23334,25269,Ben Mendelsohn,0.0,beach|friend|friendship|happiness|neighbor,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,87.0,English,Australia,R,16000000.0,2013.0,6000.0,6.2,2.35,0
67,Color,H.M. Coakley,8.0,91.0,0.0,137.0,Steffinnie Phrommany,696.0,,Crime|Drama|Thriller,Mehcad Brooks,Adulterers ,514,1210,Danielle Savre,3.0,cheating husband|female nudity|male nudity|male rear nudity|revenge,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,1.0,English,USA,,750000.0,2015.0,320.0,4.9,2.35,158
68,Color,M. Night Shyamalan,349.0,100.0,0.0,894.0,Zoë Kravitz,10000.0,60522097.0,Action|Adventure|Sci-Fi,Will Smith,After Earth ,158720,14168,Glenn Morshower,0.0,box office flop|father son team|fear|race against time|real life father and son playing father and son,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,744.0,English,USA,PG-13,130000000.0,2013.0,943.0,4.9,2.35,37000
69,Color,Ryan Smith,34.0,90.0,4.0,258.0,Madison Lintz,523.0,,Fantasy|Horror|Mystery|Thriller,Sandra Ellis Lafferty,After ,3699,1553,Karolina Wydra,0.0,coma|crash,http://www.imdb.com/title/tt1799508/?ref_=fn_tt_tt_1,27.0,English,USA,PG-13,650000.0,2012.0,385.0,5.4,2.35,1000
70,Color,Richard Boddington,11.0,90.0,15.0,120.0,CJ Adams,900.0,,Adventure|Family,Natasha Henstridge,Against the Wild ,840,1724,Erin Pitt,3.0,cave|salmon,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9.0,English,Canada,PG,2000000.0,2013.0,450.0,4.7,,326
71,Color,Raja Menon,39.0,130.0,6.0,12.0,Sameer Ali Khan,85.0,,Action|Drama|History|Thriller|War,Nimrat Kaur,Airlift ,30977,151,Purab Kohli,1.0,1990s|businessman|evacuation|historical fiction|kuwait,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,178.0,Hindi,India,,4400000.0,2016.0,26.0,8.5,2.35,10000
72,Color,Rodrigo García,222.0,113.0,127.0,373.0,Michael McElhatton,3000.0,3014541.0,Drama,Mia Wasikowska,Albert Nobbs ,19616,4370,Mark Williams,3.0,19th century|hotel|painter|waiter|woman pretending to be a man,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,98.0,English,UK,R,8000000.0,2011.0,415.0,6.7,2.35,0
73,Color,Rob Cohen,211.0,101.0,357.0,374.0,Chad Lindberg,907.0,25863915.0,Action|Crime|Mystery|Thriller,Cicely Tyson,Alex Cross ,28257,2471,Carmen Ejogo,0.0,assassin|detective|partner|police|serial killer,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,151.0,English,USA,PG-13,35000000.0,2012.0,445.0,5.1,2.35,11000
74,Color,Miguel Arteta,119.0,81.0,44.0,3000.0,Steve Carell,35000.0,66950483.0,Comedy|Family,Bella Thorne,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",29738,47677,Jennifer Garner,6.0,bad day|based on book|birthday|job interview|long title,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,85.0,English,USA,PG,28000000.0,2014.0,7000.0,6.2,2.39,12000
75,Color,Tim Burton,451.0,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0.0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736.0,English,USA,PG,200000000.0,2010.0,25000.0,6.5,1.85,24000
